id,city_center_distances,sea_distances
230_101hotels,"{""22"": 0.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 295, ""auto_manual"": 0}}"
10621_101hotels,"{""22"": 5.7}",
406989_101hotels,"{""22"": 0.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 704, ""auto_manual"": 0}}"
654635_101hotels,"{""22"": 1.4}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 463, ""auto_manual"": 0}}"
4060_101hotels,"{""22"": 1.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 187, ""auto_manual"": 0}}"
656186_101hotels,"{""22"": 1.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 988, ""auto_manual"": 0}}"
669211_101hotels,"{""22"": 3.4}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1978, ""auto_manual"": 0}}"
649990_101hotels,"{""22"": 1.5}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 422, ""auto_manual"": 0}}"
654332_101hotels,"{""22"": 0.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1199, ""auto_manual"": 0}}"
669769_101hotels,"{""22"": 1.8}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 454, ""auto_manual"": 0}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 1611, ""auto_manual"": 1}}"
663773_101hotels,"{""22"": 1.3}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 484, ""auto_manual"": 0}, ""981575360"": {""name"": ""Река Ушаковка"", ""genitive"": ""реки Ушаковка"", ""distance"": 2300, ""auto_manual"": 1}, ""981575342"": {""name"": ""Река Иркут"", ""genitive"": ""реки Иркут"", ""distance"": 2700, ""auto_manual"": 1}}"
605_101hotels,"{""22"": 5.4}",
48009_101hotels,"{""22"": 4.1}",
421726_101hotels,"{""22"": 2.4}",
669748_101hotels,"{""22"": 1.2}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 1167, ""auto_manual"": 0}}"
658332_101hotels,"{""103"": 6.5}","{""9245871"": {""name"": ""Река Китой"", ""genitive"": ""реки Китой"", ""distance"": 1418, ""auto_manual"": 0}, ""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 7669, ""auto_manual"": 0}}"
485323_101hotels,"{""22"": 1.2}",
8802_101hotels,"{""22"": 4}",
670640_101hotels,"{""22"": 4.9}","{""971877222"": {""name"": ""Река Ангара"", ""genitive"": ""Реки Ангара"", ""distance"": 4046, ""auto_manual"": 0}}"
